index,0,1,2,3,4
0,0.18721691,0.290498,0.36586204,0.05877115,0.09765191
1,0.0920364,0.6144982,0.02067749,0.049423557,0.2233643
2,0.27298978,0.59165454,0.047592286,0.008057275,0.079706095
3,0.068765454,0.0063672196,0.7581573,0.01346011,0.1532499
4,0.63857484,0.20599267,0.031867962,0.06279165,0.060772873
5,0.22217281,0.06442347,0.088937,0.3450166,0.27945015
6,0.19300635,0.07179546,0.29390088,0.24280712,0.19849017
7,0.38059333,0.08291352,0.09204289,0.14919885,0.2952514
8,0.9981754,0.00095622253,0.000542001,2.9872836e-05,0.00029646765
9,0.4435029,0.38167384,0.07756839,0.020439964,0.07681491
10,0.012250312,0.01592868,0.0023881835,0.96705115,0.0023816286
11,0.24881823,0.056214195,0.20136155,0.08191959,0.41168642
12,0.00057646143,0.9986518,0.00047526788,0.0001243359,0.0001721508
13,0.0710079,0.0590911,0.8242638,0.004523807,0.0411134
14,0.10895985,0.059179064,0.30061883,0.022167549,0.5090747
15,0.2121116,0.029908266,0.10709563,0.16529317,0.4855913
16,0.28163558,0.052283365,0.51072913,0.004851077,0.15050083
17,0.117357306,0.011623612,0.18748873,0.018630158,0.66490024
18,0.072885,0.0391944,0.06262775,0.7497628,0.07553012
19,0.13089828,0.2988852,0.04899818,0.110071585,0.41114682
20,0.060254943,0.024849022,0.8387047,0.016500795,0.059690498
21,0.0061531253,0.98059595,0.0018058353,0.009604824,0.0018402303
22,0.4336615,0.047603827,0.21163216,0.012328334,0.29477417
23,0.27236518,0.23815045,0.12352855,0.10316703,0.2627888
24,0.037671946,0.01065963,0.08969391,0.80725443,0.054720044
25,0.10418036,0.024809955,0.06473231,0.7528751,0.05340228
26,0.000752769,0.0012943586,0.0032412398,0.9943457,0.000365826
27,0.095993474,0.07049415,0.45841286,0.06084205,0.3142574
28,0.24823768,0.097662814,0.23405485,0.26879042,0.1512542
29,0.32840192,0.17311424,0.17718165,0.2711036,0.050198577
30,0.41584164,0.17767994,0.042027995,0.2980304,0.06641996
31,0.029694937,0.36187544,0.43181413,0.12271399,0.053901482
32,0.03615521,0.0012049265,0.0055592633,0.9534077,0.0036729227
33,0.10591747,0.047055397,0.117372416,0.41043514,0.31921953
34,0.15955,0.029756647,0.23490576,0.52276415,0.05302345
35,0.019555679,0.96858424,0.006008595,0.003742612,0.0021088645
36,0.0023165015,0.0007370003,0.0013251451,0.9944184,0.0012029617
37,0.119670875,0.09335426,0.3299004,0.016462231,0.44061217
38,0.035661604,0.008498915,0.43867654,0.017265838,0.49989715
39,0.3104743,0.044885457,0.11597449,0.018715339,0.5099504
40,0.050985944,0.14728041,0.12628911,0.3139176,0.36152694
41,0.055923022,0.7384057,0.08456212,0.09645395,0.02465523
42,0.12259935,0.020818943,0.61809456,0.0039946283,0.23449253
43,0.36046806,0.44296384,0.06570229,0.025231928,0.10563385
44,0.049753476,0.16362973,0.10183879,0.13515438,0.54962367
45,0.22788182,0.07385185,0.3487273,0.07187545,0.2776636
46,0.52241516,0.04219558,0.22026494,0.107144006,0.1079803
47,0.017837146,0.030915357,0.028869748,0.90944076,0.012936975
48,0.025601674,0.96288425,0.005467751,0.0017153844,0.00433093
49,0.030847713,0.16188538,0.043437015,0.72533506,0.038494855
50,0.014149461,0.036343154,0.043641698,0.047772832,0.8580928
51,0.1237163,0.02340332,0.741329,0.02705601,0.08449538
52,0.1786462,0.01910251,0.26533815,0.047050968,0.4898622
53,0.004340658,0.013280785,0.020335026,0.009345518,0.952698
54,0.06997471,0.27967656,0.43462557,0.13151772,0.08420547
55,0.016005704,0.97119325,0.0019551737,0.006632563,0.004213293
56,0.0013420638,0.006480016,0.0026048175,0.9683413,0.02123178
57,0.22644806,0.032823928,0.22285633,0.0994936,0.41837808
58,0.016554547,0.037846643,0.03608622,0.22870341,0.6808092
59,0.087451994,0.01798291,0.81219804,0.008108889,0.07425815
60,0.00090846414,0.99851614,0.00045291858,3.4850218e-05,8.75736e-05
61,0.017655488,0.14429635,0.078144975,0.25708902,0.5028142
62,0.110596426,0.05797092,0.23124942,0.5074146,0.0927687
63,0.122012295,0.01777679,0.42040175,0.038090363,0.40171885
64,0.026557308,0.94105154,0.007936837,0.016839638,0.0076145977
65,0.083111644,0.02486985,0.6785112,0.17255129,0.040955957
66,0.027360188,0.020717908,0.029292893,0.026700672,0.8959283
67,0.30936342,0.122583054,0.34111303,0.09390235,0.13303812
68,0.32104883,0.63772875,0.027190981,0.0015519881,0.012479473
69,0.0024289964,0.0023650792,0.0013269379,0.9921038,0.0017751032
70,0.012993968,0.0074406676,0.0026034745,0.973142,0.0038198135
71,0.062995926,0.0151950605,0.76042145,0.0041667037,0.15722091
72,0.007188554,0.004695107,0.010655698,0.9755822,0.0018784592
73,0.035908215,0.45845586,0.38287795,0.08005292,0.04270504
74,0.018264357,0.9795688,0.0010104444,0.00086462055,0.00029173624
75,0.014061542,0.02561746,0.04481427,0.838452,0.07705472
76,0.20576298,0.10699329,0.030829996,0.031975675,0.62443805
77,0.60106105,0.076063156,0.070951894,0.22715305,0.024770837
78,0.2901802,0.09460795,0.26734573,0.02553964,0.32232654
79,0.041435264,0.32822695,0.1786791,0.08638237,0.36527634
80,0.09507207,0.7561345,0.09194505,0.018397635,0.038450707
81,0.23232372,0.07717042,0.12176506,0.10186388,0.4668769
82,0.19509602,0.20691213,0.11991518,0.25774807,0.22032858
83,0.03976712,0.25766057,0.030955961,0.6496289,0.02198746
84,0.14820397,0.2352058,0.3605045,0.09604642,0.16003928
85,0.24095634,0.5266127,0.010030994,0.044738058,0.17766188
86,0.17556174,0.07023862,0.09959682,0.38876814,0.26583463
87,0.006248051,0.005450346,0.43698016,0.084525794,0.46679565
88,0.48203245,0.12764212,0.091943264,0.13408072,0.1643014
89,0.035203956,0.2288176,0.3578859,0.3389449,0.03914759
90,0.15144043,0.24514048,0.18518445,0.32897466,0.08925996
91,0.11564765,0.27655262,0.37683195,0.09077613,0.14019164
92,0.4657309,0.07287158,0.007712474,0.42398623,0.029698769
93,0.03275495,0.030843243,0.04981448,0.8333502,0.053237133
94,0.23088266,0.10375285,0.4353723,0.119897954,0.110094264
95,0.8948467,0.028299162,0.013997969,0.026343279,0.036512855
96,0.006187646,0.003994233,0.0040202257,0.98532563,0.00047229457
97,0.38115484,0.031622298,0.17577983,0.35917974,0.052263305
98,0.16064313,0.025930509,0.14162743,0.07779088,0.594008
99,0.013798457,0.021623624,0.04493918,0.9087128,0.010925861
100,0.042209826,0.014825463,0.7426139,0.16492112,0.03542974
101,0.9908049,0.0016740062,0.0012423062,0.00010401653,0.0061747706
102,0.050494086,0.029969813,0.0923461,0.812233,0.01495708
103,0.01910765,0.0022445696,0.9426283,0.001921725,0.034097664
